Įstaigos_kodas;Gydytojo_ID;Laisvos_registracijos_data;Įrašo_sukūrimo_data
302692454;10000225;2019-03-25 13:20;2019-03-13 10:50:49
302692454;10000225;2019-03-25 14:05;2019-03-13 10:50:49
302692454;10000225;2019-03-25 14:20;2019-03-13 10:50:49
302692454;10000225;2019-03-25 14:30;2019-03-13 10:50:49
302692454;10000225;2019-03-25 14:40;2019-03-13 10:50:49
302692454;10000225;2019-03-25 14:55;2019-03-13 10:50:49
302692454;10000225;2019-03-25 15:10;2019-03-13 10:50:49
302692454;10000225;2019-03-25 16:10;2019-03-13 10:50:49
302692454;10000225;2019-03-25 16:25;2019-03-13 10:50:49
302692454;10000225;2019-03-25 16:40;2019-03-13 10:50:49
302692454;10000225;2019-03-25 17:10;2019-03-13 10:50:49
302692454;10000225;2019-03-25 17:25;2019-03-13 10:50:49
302692454;10000225;2019-03-25 17:40;2019-03-13 10:50:49
302692454;10000225;2019-03-25 17:55;2019-03-13 10:50:49
302692454;10000225;2019-03-25 18:10;2019-03-13 10:50:49
302692454;10000225;2019-03-25 18:25;2019-03-13 10:50:49
302692454;10000225;2019-03-25 18:40;2019-03-13 10:50:49
302692454;10000225;2019-03-25 18:50;2019-03-13 10:50:49
302692454;10000225;2019-03-26 07:05;2019-03-13 10:50:49
302692454;10000225;2019-03-26 07:20;2019-03-13 10:50:49
302692454;10000225;2019-03-26 07:35;2019-03-13 10:50:49
302692454;10000225;2019-03-26 07:50;2019-03-13 10:50:49
302692454;10000225;2019-03-26 08:05;2019-03-13 10:50:49
302692454;10000225;2019-03-26 08:35;2019-03-13 10:50:49
302692454;10000225;2019-03-26 08:50;2019-03-13 10:50:49
302692454;10000225;2019-03-26 09:00;2019-03-13 10:50:49
302692454;10000225;2019-03-26 09:10;2019-03-13 10:50:49
302692454;10000225;2019-03-26 09:25;2019-03-13 10:50:49
302692454;10000225;2019-03-26 09:40;2019-03-13 10:50:49
302692454;10000225;2019-03-26 09:55;2019-03-13 10:50:49
302692454;10000225;2019-03-26 10:40;2019-03-13 10:50:49
302692454;10000225;2019-03-26 10:55;2019-03-13 10:50:49
302692454;10000225;2019-03-26 11:40;2019-03-13 10:50:49
302692454;10000225;2019-03-26 11:55;2019-03-13 10:50:49
302692454;10000225;2019-03-26 12:25;2019-03-13 10:50:49
302692454;10000225;2019-03-26 12:55;2019-03-13 10:50:49
302692454;10000225;2019-03-26 13:10;2019-03-13 10:50:49
302692454;10000225;2019-03-26 13:30;2019-03-13 10:50:49
302692454;10000225;2019-03-26 13:45;2019-03-13 10:50:49
302692454;10000225;2019-03-26 14:00;2019-03-13 10:50:49
302692454;10000225;2019-03-26 14:15;2019-03-13 10:50:49
